first_name,middle_name,last_name,gender,date_of_birth,blood_group,aadhaar_number,emis_number,mobile,phone,email,photo_url,admission_number,roll_number,admission_date,academic_year_id,class_id,section_id,class_name,class_code,section_name,section_code,father_name,mother_name,address,status
Student3077,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3077,DPSH-CAPTEST-ROLL-3077,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3078,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3078,DPSH-CAPTEST-ROLL-3078,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3079,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3079,DPSH-CAPTEST-ROLL-3079,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3080,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3080,DPSH-CAPTEST-ROLL-3080,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3081,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3081,DPSH-CAPTEST-ROLL-3081,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3082,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3082,DPSH-CAPTEST-ROLL-3082,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3083,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3083,DPSH-CAPTEST-ROLL-3083,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3084,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3084,DPSH-CAPTEST-ROLL-3084,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3085,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3085,DPSH-CAPTEST-ROLL-3085,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3086,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3086,DPSH-CAPTEST-ROLL-3086,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3087,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3087,DPSH-CAPTEST-ROLL-3087,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3088,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3088,DPSH-CAPTEST-ROLL-3088,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3089,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3089,DPSH-CAPTEST-ROLL-3089,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3090,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3090,DPSH-CAPTEST-ROLL-3090,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3091,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3091,DPSH-CAPTEST-ROLL-3091,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3092,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3092,DPSH-CAPTEST-ROLL-3092,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3093,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3093,DPSH-CAPTEST-ROLL-3093,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3094,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3094,DPSH-CAPTEST-ROLL-3094,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3095,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3095,DPSH-CAPTEST-ROLL-3095,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3096,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3096,DPSH-CAPTEST-ROLL-3096,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3097,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3097,DPSH-CAPTEST-ROLL-3097,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3098,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3098,DPSH-CAPTEST-ROLL-3098,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3099,,Captest,FEMALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3099,DPSH-CAPTEST-ROLL-3099,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
Student3100,,Captest,MALE,2015-01-01,O+,,,,,,,DPSH-CAPTEST-3100,DPSH-CAPTEST-ROLL-3100,2026-06-01,113282c1-9831-4e54-a00e-1746d3c2829d,621d8579-6bee-4932-88ac-043233fce80a,8cbf9583-fab3-4418-bc63-6e6c68d15d55,Class 1,CLASS_1,Section A,SEC_A,,,,ACTIVE
