admission_number,first_name,last_name,gender,date_of_birth,admission_date,roll_number,academic_year_code,class_code,section_code,status
ADM2025238,Sruthi,Boya,FEMALE,2011-11-15,2025-06-01,28,AY2025-2026,C8,B,ACTIVE
ADM2025239,Sarath,Kammari,MALE,2011-12-16,2025-06-01,29,AY2025-2026,C8,B,ACTIVE
ADM2025240,Sharanya,Vangala,FEMALE,2011-01-17,2025-06-01,30,AY2025-2026,C8,B,ACTIVE
ADM2025241,Shashi,Nallam,MALE,2010-02-18,2025-06-01,1,AY2025-2026,C9,A,ACTIVE
ADM2025242,Vandana,Katakam,FEMALE,2010-03-19,2025-06-01,2,AY2025-2026,C9,A,ACTIVE
ADM2025243,Bhavan,Gampa,MALE,2010-04-20,2025-06-01,3,AY2025-2026,C9,A,ACTIVE
ADM2025244,Tanmayi,Peddinti,FEMALE,2010-05-21,2025-06-01,4,AY2025-2026,C9,A,ACTIVE
ADM2025245,Karthik,Komuravelli,MALE,2010-06-22,2025-06-01,5,AY2025-2026,C9,A,ACTIVE
ADM2025246,Tanmayi,Polisetty,FEMALE,2010-07-23,2025-06-01,6,AY2025-2026,C9,A,ACTIVE
ADM2025247,Vikram,Katta,MALE,2010-08-24,2025-06-01,7,AY2025-2026,C9,A,ACTIVE
ADM2025248,Chandana,Chilukuri,FEMALE,2010-09-25,2025-06-01,8,AY2025-2026,C9,A,ACTIVE
ADM2025249,Lokesh,Medasani,MALE,2010-10-26,2025-06-01,9,AY2025-2026,C9,A,ACTIVE
ADM2025250,Harini,Nimmagadda,FEMALE,2010-11-27,2025-06-01,10,AY2025-2026,C9,A,ACTIVE
ADM2025251,Nikhil,Rao,MALE,2010-12-28,2025-06-01,11,AY2025-2026,C9,A,ACTIVE
ADM2025252,Shravani,Reddy,FEMALE,2010-01-01,2025-06-01,12,AY2025-2026,C9,A,ACTIVE
ADM2025253,Karthik,Sharma,MALE,2010-02-02,2025-06-01,13,AY2025-2026,C9,A,ACTIVE
ADM2025254,Pravallika,Goud,FEMALE,2010-03-03,2025-06-01,14,AY2025-2026,C9,A,ACTIVE
ADM2025255,Akhil,Chowdary,MALE,2010-04-04,2025-06-01,15,AY2025-2026,C9,A,ACTIVE
ADM2025256,Sandhya,Varma,FEMALE,2010-05-05,2025-06-01,16,AY2025-2026,C9,A,ACTIVE
ADM2025257,Manish,Naidu,MALE,2010-06-06,2025-06-01,17,AY2025-2026,C9,A,ACTIVE
ADM2025258,Alekhya,Gupta,FEMALE,2010-07-07,2025-06-01,18,AY2025-2026,C9,A,ACTIVE
ADM2025259,Nikhil,Murthy,MALE,2010-08-08,2025-06-01,19,AY2025-2026,C9,A,ACTIVE
ADM2025260,Bhavya,Sastry,FEMALE,2010-09-09,2025-06-01,20,AY2025-2026,C9,A,ACTIVE
ADM2025261,Karthik,Babu,MALE,2010-10-10,2025-06-01,21,AY2025-2026,C9,A,ACTIVE
ADM2025262,Spandana,Yadav,FEMALE,2010-11-11,2025-06-01,22,AY2025-2026,C9,A,ACTIVE
ADM2025263,Shashi,Patel,MALE,2010-12-12,2025-06-01,23,AY2025-2026,C9,A,ACTIVE
ADM2025264,Pallavi,Venkatesh,FEMALE,2010-01-13,2025-06-01,24,AY2025-2026,C9,A,ACTIVE
ADM2025265,Aarav,Vemula,MALE,2010-02-14,2025-06-01,25,AY2025-2026,C9,A,ACTIVE
ADM2025266,Ananya,Bandi,FEMALE,2010-03-15,2025-06-01,26,AY2025-2026,C9,A,ACTIVE
ADM2025267,Dhanush,Kandula,MALE,2010-04-16,2025-06-01,27,AY2025-2026,C9,A,ACTIVE
ADM2025268,Alekhya,Gudepu,FEMALE,2010-05-17,2025-06-01,28,AY2025-2026,C9,A,ACTIVE
ADM2025269,Pranav,Singireddy,MALE,2010-06-18,2025-06-01,29,AY2025-2026,C9,A,ACTIVE
ADM2025270,Ramya,Pothula,FEMALE,2010-07-19,2025-06-01,30,AY2025-2026,C9,A,ACTIVE
ADM2025271,Rishi,Kondapalli,MALE,2010-08-20,2025-06-01,1,AY2025-2026,C9,B,ACTIVE
ADM2025272,Alekhya,Malkapuram,FEMALE,2010-09-21,2025-06-01,2,AY2025-2026,C9,B,ACTIVE
ADM2025273,Pranav,Chintala,MALE,2010-10-22,2025-06-01,3,AY2025-2026,C9,B,ACTIVE
ADM2025274,Vandana,Gaddam,FEMALE,2010-11-23,2025-06-01,4,AY2025-2026,C9,B,ACTIVE
ADM2025275,Aditya,Boddu,MALE,2010-12-24,2025-06-01,5,AY2025-2026,C9,B,ACTIVE
ADM2025276,Harini,Maddela,FEMALE,2010-01-25,2025-06-01,6,AY2025-2026,C9,B,ACTIVE
ADM2025277,Kalyan,Komati,MALE,2010-02-26,2025-06-01,7,AY2025-2026,C9,B,ACTIVE
ADM2025278,Archana,Narra,FEMALE,2010-03-27,2025-06-01,8,AY2025-2026,C9,B,ACTIVE
ADM2025279,Vishnu,Thota,MALE,2010-04-28,2025-06-01,9,AY2025-2026,C9,B,ACTIVE
ADM2025280,Tanmayi,Avula,FEMALE,2010-05-01,2025-06-01,10,AY2025-2026,C9,B,ACTIVE
ADM2025281,Surya,Siripuram,MALE,2010-06-02,2025-06-01,11,AY2025-2026,C9,B,ACTIVE
ADM2025282,Chandana,Yerra,FEMALE,2010-07-03,2025-06-01,12,AY2025-2026,C9,B,ACTIVE
ADM2025283,Kalyan,Goli,MALE,2010-08-04,2025-06-01,13,AY2025-2026,C9,B,ACTIVE
ADM2025284,Yamini,Sunkari,FEMALE,2010-09-05,2025-06-01,14,AY2025-2026,C9,B,ACTIVE
ADM2025285,Chandra,Mothukuri,MALE,2010-10-06,2025-06-01,15,AY2025-2026,C9,B,ACTIVE
ADM2025286,Tanmayi,Dasari,FEMALE,2010-11-07,2025-06-01,16,AY2025-2026,C9,B,ACTIVE
ADM2025287,Abhinav,Challa,MALE,2010-12-08,2025-06-01,17,AY2025-2026,C9,B,ACTIVE
ADM2025288,Spandana,Boya,FEMALE,2010-01-09,2025-06-01,18,AY2025-2026,C9,B,ACTIVE
ADM2025289,Nikhil,Kammari,MALE,2010-02-10,2025-06-01,19,AY2025-2026,C9,B,ACTIVE
ADM2025290,Vandana,Vangala,FEMALE,2010-03-11,2025-06-01,20,AY2025-2026,C9,B,ACTIVE
ADM2025291,Chandra,Nallam,MALE,2010-04-12,2025-06-01,21,AY2025-2026,C9,B,ACTIVE
ADM2025292,Swathi,Katakam,FEMALE,2010-05-13,2025-06-01,22,AY2025-2026,C9,B,ACTIVE
ADM2025293,Chandra,Gampa,MALE,2010-06-14,2025-06-01,23,AY2025-2026,C9,B,ACTIVE
ADM2025294,Jyothi,Peddinti,FEMALE,2010-07-15,2025-06-01,24,AY2025-2026,C9,B,ACTIVE
ADM2025295,Yashwanth,Komuravelli,MALE,2010-08-16,2025-06-01,25,AY2025-2026,C9,B,ACTIVE
ADM2025296,Archana,Polisetty,FEMALE,2010-09-17,2025-06-01,26,AY2025-2026,C9,B,ACTIVE
ADM2025297,Aditya,Katta,MALE,2010-10-18,2025-06-01,27,AY2025-2026,C9,B,ACTIVE
ADM2025298,Pranathi,Chilukuri,FEMALE,2010-11-19,2025-06-01,28,AY2025-2026,C9,B,ACTIVE
ADM2025299,Goutham,Medasani,MALE,2010-12-20,2025-06-01,29,AY2025-2026,C9,B,ACTIVE
ADM2025300,Vaishnavi,Nimmagadda,FEMALE,2010-01-21,2025-06-01,30,AY2025-2026,C9,B,ACTIVE
ADM2025301,Pavan,Rao,MALE,2009-02-22,2025-06-01,1,AY2025-2026,C10,A,ACTIVE
ADM2025302,Sucharitha,Reddy,FEMALE,2009-03-23,2025-06-01,2,AY2025-2026,C10,A,ACTIVE
ADM2025303,Hemant,Sharma,MALE,2009-04-24,2025-06-01,3,AY2025-2026,C10,A,ACTIVE
ADM2025304,Aakanksha,Goud,FEMALE,2009-05-25,2025-06-01,4,AY2025-2026,C10,A,ACTIVE
ADM2025305,Goutham,Chowdary,MALE,2009-06-26,2025-06-01,5,AY2025-2026,C10,A,ACTIVE
ADM2025306,Lavanya,Varma,FEMALE,2009-07-27,2025-06-01,6,AY2025-2026,C10,A,ACTIVE
ADM2025307,Anirudh,Naidu,MALE,2009-08-28,2025-06-01,7,AY2025-2026,C10,A,ACTIVE
ADM2025308,Jyothi,Gupta,FEMALE,2009-09-01,2025-06-01,8,AY2025-2026,C10,A,ACTIVE
ADM2025309,Teja,Murthy,MALE,2009-10-02,2025-06-01,9,AY2025-2026,C10,A,ACTIVE
ADM2025310,Navya,Sastry,FEMALE,2009-11-03,2025-06-01,10,AY2025-2026,C10,A,ACTIVE
ADM2025311,Manish,Babu,MALE,2009-12-04,2025-06-01,11,AY2025-2026,C10,A,ACTIVE
ADM2025312,Lavanya,Yadav,FEMALE,2009-01-05,2025-06-01,12,AY2025-2026,C10,A,ACTIVE
ADM2025313,Abhinav,Patel,MALE,2009-02-06,2025-06-01,13,AY2025-2026,C10,A,ACTIVE
ADM2025314,Tanmayi,Venkatesh,FEMALE,2009-03-07,2025-06-01,14,AY2025-2026,C10,A,ACTIVE
ADM2025315,Ganesh,Vemula,MALE,2009-04-08,2025-06-01,15,AY2025-2026,C10,A,ACTIVE
ADM2025316,Vennela,Bandi,FEMALE,2009-05-09,2025-06-01,16,AY2025-2026,C10,A,ACTIVE
ADM2025317,Aditya,Kandula,MALE,2009-06-10,2025-06-01,17,AY2025-2026,C10,A,ACTIVE
ADM2025318,Sahithi,Gudepu,FEMALE,2009-07-11,2025-06-01,18,AY2025-2026,C10,A,ACTIVE
ADM2025319,Pavan,Singireddy,MALE,2009-08-12,2025-06-01,19,AY2025-2026,C10,A,ACTIVE
ADM2025320,Srini,Pothula,FEMALE,2009-09-13,2025-06-01,20,AY2025-2026,C10,A,ACTIVE
ADM2025321,Rishi,Kondapalli,MALE,2009-10-14,2025-06-01,21,AY2025-2026,C10,A,ACTIVE
ADM2025322,Yamini,Malkapuram,FEMALE,2009-11-15,2025-06-01,22,AY2025-2026,C10,A,ACTIVE
ADM2025323,Chaitanya,Chintala,MALE,2009-12-16,2025-06-01,23,AY2025-2026,C10,A,ACTIVE
ADM2025324,Tejaswi,Gaddam,FEMALE,2009-01-17,2025-06-01,24,AY2025-2026,C10,A,ACTIVE
ADM2025325,Goutham,Boddu,MALE,2009-02-18,2025-06-01,25,AY2025-2026,C10,A,ACTIVE
ADM2025326,Alekhya,Maddela,FEMALE,2009-03-19,2025-06-01,26,AY2025-2026,C10,A,ACTIVE
ADM2025327,Rishi,Komati,MALE,2009-04-20,2025-06-01,27,AY2025-2026,C10,A,ACTIVE
ADM2025328,Priyanka,Narra,FEMALE,2009-05-21,2025-06-01,28,AY2025-2026,C10,A,ACTIVE
ADM2025329,Satish,Thota,MALE,2009-06-22,2025-06-01,29,AY2025-2026,C10,A,ACTIVE
ADM2025330,Sneha,Avula,FEMALE,2009-07-23,2025-06-01,30,AY2025-2026,C10,A,ACTIVE
ADM2025331,Vikram,Siripuram,MALE,2009-08-24,2025-06-01,1,AY2025-2026,C10,B,ACTIVE
ADM2025332,Sharanya,Yerra,FEMALE,2009-09-25,2025-06-01,2,AY2025-2026,C10,B,ACTIVE
ADM2025333,Pranav,Goli,MALE,2009-10-26,2025-06-01,3,AY2025-2026,C10,B,ACTIVE
ADM2025334,Ananya,Sunkari,FEMALE,2009-11-27,2025-06-01,4,AY2025-2026,C10,B,ACTIVE
ADM2025335,Nikhil,Mothukuri,MALE,2009-12-28,2025-06-01,5,AY2025-2026,C10,B,ACTIVE
ADM2025336,Krithi,Dasari,FEMALE,2009-01-01,2025-06-01,6,AY2025-2026,C10,B,ACTIVE
ADM2025337,Chaitanya,Challa,MALE,2009-02-02,2025-06-01,7,AY2025-2026,C10,B,ACTIVE
ADM2025338,Tejaswi,Boya,FEMALE,2009-03-03,2025-06-01,8,AY2025-2026,C10,B,ACTIVE
ADM2025339,Santosh,Kammari,MALE,2009-04-04,2025-06-01,9,AY2025-2026,C10,B,ACTIVE
ADM2025340,Sharanya,Vangala,FEMALE,2009-05-05,2025-06-01,10,AY2025-2026,C10,B,ACTIVE
ADM2025341,Naveen,Nallam,MALE,2009-06-06,2025-06-01,11,AY2025-2026,C10,B,ACTIVE
ADM2025342,Sindhu,Katakam,FEMALE,2009-07-07,2025-06-01,12,AY2025-2026,C10,B,ACTIVE
ADM2025343,Shashi,Gampa,MALE,2009-08-08,2025-06-01,13,AY2025-2026,C10,B,ACTIVE
ADM2025344,Geetha,Peddinti,FEMALE,2009-09-09,2025-06-01,14,AY2025-2026,C10,B,ACTIVE
ADM2025345,Uday,Komuravelli,MALE,2009-10-10,2025-06-01,15,AY2025-2026,C10,B,ACTIVE
ADM2025346,Meghana,Polisetty,FEMALE,2009-11-11,2025-06-01,16,AY2025-2026,C10,B,ACTIVE
ADM2025347,Vikram,Katta,MALE,2009-12-12,2025-06-01,17,AY2025-2026,C10,B,ACTIVE
ADM2025348,Sameera,Chilukuri,FEMALE,2009-01-13,2025-06-01,18,AY2025-2026,C10,B,ACTIVE
ADM2025349,Manoj,Medasani,MALE,2009-02-14,2025-06-01,19,AY2025-2026,C10,B,ACTIVE
ADM2025350,Ramya,Nimmagadda,FEMALE,2009-03-15,2025-06-01,20,AY2025-2026,C10,B,ACTIVE
ADM2025351,Aarav,Rao,MALE,2009-04-16,2025-06-01,21,AY2025-2026,C10,B,ACTIVE
ADM2025352,Kavya,Reddy,FEMALE,2009-05-17,2025-06-01,22,AY2025-2026,C10,B,ACTIVE
ADM2025353,Rishi,Sharma,MALE,2009-06-18,2025-06-01,23,AY2025-2026,C10,B,ACTIVE
ADM2025354,Ruchitha,Goud,FEMALE,2009-07-19,2025-06-01,24,AY2025-2026,C10,B,ACTIVE
ADM2025355,Teja,Chowdary,MALE,2009-08-20,2025-06-01,25,AY2025-2026,C10,B,ACTIVE
ADM2025356,Pooja,Varma,FEMALE,2009-09-21,2025-06-01,26,AY2025-2026,C10,B,ACTIVE
ADM2025357,Rohit,Naidu,MALE,2009-10-22,2025-06-01,27,AY2025-2026,C10,B,ACTIVE
ADM2025358,Harini,Gupta,FEMALE,2009-11-23,2025-06-01,28,AY2025-2026,C10,B,ACTIVE
ADM2025359,Sameer,Murthy,MALE,2009-12-24,2025-06-01,29,AY2025-2026,C10,B,ACTIVE
ADM2025360,Tejaswi,Sastry,FEMALE,2009-01-25,2025-06-01,30,AY2025-2026,C10,B,ACTIVE
